price,address,sqft_living,latitude,longitude,bedrooms,bathrooms,balcony,car_garage,type_of_building,price_sqft
10500000,"Sector 65, Gurgaon, Delhi NCR",1020,28.3978564,77.07393158,2,2,2,,Flat,10294
7500000,"G 033., Sector 108, Gurgaon, Delhi NCR",1505,28.512136,76.986899,2,2,2,1,Flat,4983
4800000,"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",1232,28.652807235717773,77.45092010498047,6,3,2,,Flat,3896
5600000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929,28.436305,77.13605,2,2,1,,Flat,6027
8500000,"Vaishali, Ghaziabad, Delhi NCR",1350,28.647938,77.340697,3,3,,,Flat,6296
4700000,"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1085,28.646509,77.3814882767311,2,2,2,,Flat,4331
8500000,"Sector 108, Gurgaon, Delhi NCR",1790,28.512136,76.986899,3,3,,,Flat,4748
10000000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",1689,28.487018,76.998009,3,3,4,1,Flat,5920
18000000,"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",2411,28.391644,77.06486457,3,3,3,2,Flat,7465
12400000,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",1650,28.6016822982437,77.0319327881991,3,2,2,2,Flat,7515
7700000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685,28.5092080113141,77.4066255380327,3,4,4,1,Flat,4569
6000000,"Vaishali, Ghaziabad, Delhi NCR",1050,28.648794,77.3425322478785,2,2,2,,Flat,5714
12500000,"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1300,28.59344,77.065951,2,2,2,2,Flat,9615
6380000,"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",1170,28.495893478393555,77.18599700927734,3,2,1,1,Flat,5452
7400000,"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",1275,28.28709602355957,77.06906127929688,2,2,2,1,Flat,5803
8400000,"Sector 84, Gurugram, Haryana, Sihi, Gurgaon, Delhi NCR",1890,28.410466,76.962531,3,3,4,1,Flat,4444
6400000,"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1455,28.570142,77.3862730013034,3,2,3,1,Individual House,4398
19000000,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768,28.5934318343359,77.0442727572328,3,2,,2,Flat,10746
4300000,"sector 1 greater noida west, Greater Noida West, Greater Noida, Delhi NCR",1295,28.566914,77.436434,2,2,4,2,Individual House,3320
23800000,"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund, Faridabad, Delhi NCR",3500,28.4818021,77.2200217,4,5,3,1,Flat,6800
10500000,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",1850,28.548787,77.346032,3,4,2,2,Flat,5675
10800000,"Sector 32 Sohna Gurgaon Haryana, Sohna, Gurgaon, Delhi NCR",1966,28.247592,77.069185,2,2,1,1,Flat,5493
5500000,"Indirapuram, Ghaziabad, Delhi NCR",1350,28.6493479,77.3696259,2,2,,,Flat,4074
4320000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040,28.509118,77.413416,2,2,3,1,Flat,4153
3000000,"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",800,28.6452824,77.3621025,2,2,1,1,Flat,3750
3500000,"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",950,28.579593,77.445197,2,2,3,,Flat,3684
